,EQUITY,EQUITY,EQUITY,DEBT,DEBT,DEBT
Date,Gross Purchase,Gross Sales,Net Purchase/Sales,Gross Purchase,Gross Sales,Net Purchase/Sales
26-Nov-2008,626.3,313.3,313,1274.1,308.6,965.5
25-Nov-2008,435.5,317.2,118.3,801.7,581.5,197.5
24-Nov-2008,404,333.2,70.8,608.9,658.4,-49.5
21-Nov-2008,553.6,529.2,24.4,658.1,745.9,-87.8
20-Nov-2008,275.4,374.1,-98.7,539.3,747.1,-207.8
19-Nov-2008,428.9,479.7,-50.8,797.4,1154.5,-357.1
18-Nov-2008,324.8,369.8,-45,670.5,1050.6,-380.1
17-Nov-2008,278.5,654.4,-375.9,959.8,1199.3,-239.5
14-Nov-2008,315.5,620.3,-304.8,931.7,1066.2,-134.5
12-Nov-2008,358.5,418.2,-59.7,1515.1,1491.1,24
11-Nov-2008,289.2,511.3,-222.1,583.5,1026.6,-443.1
10-Nov-2008,802.6,297.1,505.5,411.3,888.7,-477.4
07-Nov-2008,213.4,295.1,-81.7,852.5,996.5,-144
06-Nov-2008,391.2,513,-121.8,1074.3,1284.4,-210.1
05-Nov-2008,592.2,991.8,-399.6,745.2,1260.3,-515.1
04-Nov-2008,581,749.8,-168.8,457.6,1155.6,-698
03-Nov-2008,625.3,703.8,-78.5,545.2,1587.6,-1042.4
Total,7495.9,8471.3,-975.4,13426.2,17202.9,-3799.4
31-Mar-2000,191.1,145.95,45.15,0,0,0
30-Mar-2000,81.37,48.91,32.46,0,0,0
29-Mar-2000,185.16,255.34,-70.18,0,0,0
28-Mar-2000,99.66,143.56,-43.9,0,0,0
27-Mar-2000,75.58,139.32,-63.74,0,0,0
24-Mar-2000,72.74,124,-51.26,0,0,0
23-Mar-2000,83.2,77.66,5.54,0,0,0
22-Mar-2000,66.94,56.25,10.69,0,0,0
21-Mar-2000,103.67,105.82,-2.15,0,0,0
16-Mar-2000,125.49,71.37,54.12,0,0,0
15-Mar-2000,32.03,92.05,-60.02,0,0,0
14-Mar-2000,83.27,28.53,54.74,0,0,0
13-Mar-2000,67.26,96.84,-29.58,0,0,0
10-Mar-2000,175.4,88.57,86.83,0,0,0
09-Mar-2000,192.53,131.5,61.03,0,0,0
08-Mar-2000,42.8,167.14,-124.34,0,0,0
07-Mar-2000,275.09,159.85,115.2,0,0,0
06-Mar-2000,131.2,203.97,-72.77,0,0,0
03-Mar-2000,298.23,148.58,149.65,0,0,0
02-Mar-2000,294.26,148.09,146.17,0,0,0
01-Mar-2000,96.65,171.63,-74.98,0,0,0
Total,2773.63,2604.93,168.66,0,0,0
30-May-2007,874.1,519.5,354.6,1455,508.3,946.7
29-May-2007,636,640.2,-4.2,1130.6,1052.6,78
28-May-2007,870.6,717.3,153.3,875.6,414.5,461.1
25-May-2007,562.1,523.8,38.3,617.4,797.6,-180.2
24-May-2007,575.3,1022.1,-446.8,1216.8,591.2,625.6
23-May-2007,729.4,713.2,16.2,1225.5,834,391.5
22-May-2007,929.9,977.4,-47.5,856.5,585.7,270.8
21-May-2007,1099.4,786.3,313.1,1107.4,676,431.4
18-May-2007,534.4,669.4,-135,1087,676.5,410.5
17-May-2007,1218.8,588.3,630.5,649.3,708,-58.7
16-May-2007,951.8,616.2,335.6,1026.5,480.2,546.3
15-May-2007,550.3,628.2,-77.9,1788.4,1264.3,524.1
14-May-2007,562,522,40,747.1,414.9,332.2
11-May-2007,526.9,426.2,100.7,1279.3,612.8,666.5
10-May-2007,646.5,420,226.5,1597.2,743,854.2
09-May-2007,534.2,658.4,-124.2,1144.8,786.7,358.1
08-May-2007,593.3,612.1,-18.8,1256.3,477.9,778.4
07-May-2007,788.7,767,21.7,1170,880.3,289.7
04-May-2007,382.3,273.3,109,415,261.6,153.4
03-May-2007,690.4,392.4,298,755.3,726.1,29.2
Total,14256.4,12473.3,1783.1,21401,13492.2,7908.8
31-Aug-2007,1044.5,581,463.5,1931.6,647.5,1284.1
30-Aug-2007,1871.6,1145.1,726.5,1533,326.8,1206.2
29-Aug-2007,594.7,534.9,59.8,1302.6,351.8,950.8
28-Aug-2007,480.8,434.9,45.9,678.1,935.9,-257.8
27-Aug-2007,947.2,601.8,345.4,761.2,452.5,308.7
25-Aug-2007,N.A.,N.A.,N.A.,45.7,0,45.7
24-Aug-2007,714.8,630.1,84.7,521.8,350.8,171
23-Aug-2007,953,621.6,331.4,801.5,1031.7,-230.2
22-Aug-2007,837.3,625.7,211.6,585.7,846.5,-260.8
21-Aug-2007,507.3,523.8,-16.5,1213.4,1228,-14.6
20-Aug-2007,618.8,466.5,152.3,0,0,0
17-Aug-2007,1537.4,659.1,878.3,1041.2,731.5,309.7
16-Aug-2007,989.5,750.3,239.2,692.6,767.7,-75.1
14-Aug-2007,498.8,347.3,151.5,733.6,780.4,-46.8
13-Aug-2007,300.3,277.3,23,987.6,706.2,281.4
10-Aug-2007,616.5,786.3,-169.8,1047.2,427.6,619.6
09-Aug-2007,721.5,676.1,45.4,1003.1,1284.2,-281.1
08-Aug-2007,797.8,420.5,377.3,963.3,1221.4,-258.1
07-Aug-2007,345.9,351.2,-5.3,484,673.3,-189.3
06-Aug-2007,395.9,348,47.9,566.3,448.8,117.5
03-Aug-2007,558.3,301.5,256.8,830.3,827.5,2.8
02-Aug-2007,534.5,542,-7.5,1810.5,1497.1,313.4
01-Aug-2007,809.4,956.9,-147.5,1305.1,942.9,362.2
Total,16675.8,12581.9,4093.9,20839.4,16480.1,4359.3
29-Apr-2016,98.3,79.1,19.2,497.6,85.1,412.5
